,importance
kinase,0.04404957409296753
activating,0.035331653424898087
suppressor,0.029699861453118766
missense mutations,0.02618020703689957
activated,0.023670321484650085
pten,0.020455034923742427
assays,0.016355030153410086
brca,0.015890074018807696
loss,0.015018207598216376
kinase domain,0.013056032229152182
oncogenic,0.011860224307201723
interaction,0.011428836781163767
cells,0.011305853243406185
brca1,0.010733430731999326
results,0.009680564930085827
function,0.00908813793366428
fusion,0.008838683267190126
dna,0.00847755550307542
erk,0.008372445926323106
therapy,0.0075353797254135565
phosphorylation,0.007006473714980226
tyrosine,0.006801621717169511
activation,0.006704422344112382
tyrosine kinase,0.006528859654715835
surface,0.006387634701488196
patient,0.006315578644321888
deletion,0.00630275703037956
nrf2,0.006276511056583983
shown,0.0061445847722800834
stability,0.006106242442684518
p53,0.00601363078012639
found,0.005923169773533386
co,0.005914702517898999
variants,0.00567651486647939
protein,0.00557769668474247
mutants,0.005284751006365354
lines,0.00518556078286949
values,0.0050808729977277955
molecular,0.004676132101980935
treatment,0.004653479114675146
downstream,0.004647258795473739
functional,0.004557013024837715
buffer,0.0043790998475702145
response,0.004276449405157638
sequencing,0.004275034845945316
resistance,0.004271456440714077
mutant,0.00421943350928727
codon,0.004213122709668621
although,0.0042127244651590234
site,0.004208480255181084
sequence,0.004089720616024248
mutations,0.003918435356836199
affected,0.0038993829178024433
tumors,0.0038901765533615462
region,0.003884143016647033
mek,0.0038693095594118415
patients,0.003770498625206906
sensitivity,0.0037175941615877573
germline,0.0037043364073929886
mm,0.0036967205314829125
containing,0.0036910547934547876
show,0.0036256067234041404
signaling,0.0036254320195957357
assay,0.0035018784002443103
several,0.0033374465513038546
new,0.003254444675152485
treated,0.003209301304045841
effect,0.003163239076476528
resistant,0.002955080137556222
inhibitors,0.0029512682663117625
exons,0.0029476225171496395
indicated,0.0029428706607023823
amplification,0.002931931910346388
data,0.0028837176280179055
expression,0.002876771400219829
length,0.002843329281611004
inhibitor,0.0028393023100959833
yeast,0.0027946071649514047
raf,0.0027740022604316812
smad4,0.0027507734409627418
transfected,0.002719706494058581
information,0.0026706954683841707
pik3ca,0.002653505080052661
ba,0.002641491125530851
one,0.00263434189380711
terminal,0.002618436764688441
months,0.0026043545467200257
phosphorylated,0.002598685283472275
inhibition,0.0025171575591099757
genes,0.00249737093430734
within,0.0024670934626813334
activity,0.0024613039301624447
domains,0.002459708490531276
mutation,0.00244243670388324
imatinib,0.0024091329476403607
single,0.002396798739246174
study,0.0023848859343595145
braf,0.002378398531972717
ii,0.002374668934588412
structural,0.002359024223482853
overexpression,0.0023080734657212757
interactions,0.0023072642562564907
binding,0.002306183725777998
10,0.0022553469633339873
carcinoma,0.0022342703235477316
classification,0.002223103633575528
determine,0.002210283110939661
figure,0.002172805816424465
number,0.0021646659300770554
significantly,0.0021586821268110516
progression,0.0021476460049078667
lung,0.0020762515668067767
active,0.002070918327392064
ba f3,0.0020670409757405856
kit,0.0020412831577852186
observed,0.002032229986153243
tissue,0.002010406369384637
type,0.0020092689222857567
rate,0.0019876255009601985
regulation,0.001956102203548249
low,0.0019533843422986316
kinases,0.0019505438967861188
exon,0.0019330694118584412
cell,0.0019296497195338451
therefore,0.001925033125303164
cyclin,0.0019189119147163237
however,0.0019122346597363195
mutated,0.0019002264579259347
somatic,0.001886403484540392
14,0.0018693748594983159
two,0.0018683946887087955
important,0.001868200318392479
missense,0.0018673442349520922
therapeutic,0.0018656566511756102
formation,0.0018538258111330099
families,0.001839892792143949
gene,0.0018293264563574254
deleterious,0.001812196350225167
vus,0.0018029326120754716
described,0.001795589646526933
individual,0.0017923123933359978
also,0.0017842442298403247
multiple,0.0017835497402243245
mediated,0.001783141131843756
control,0.0017814362403199633
kras,0.0017731231445553834
clinical,0.0017721899540079921
aml,0.001756984947729261
may,0.0017503417910084214
model,0.0017499160736493937
studies,0.001715795930412108
increased,0.0017149655425740915
small,0.0016976782641441636
suggest,0.0016834182171400348
common,0.001661750999866001
pdgfra,0.0016586888546569261
fig,0.0016471558176063396
complex,0.0016455820136454214
nuclear,0.0016441125650572212
repair,0.0016118032222156515
western,0.001601624325045511
cellular,0.0015974980599521395
wt,0.0015915807405973979
panel,0.0015899908603000067
using,0.0015817854717045108
controls,0.0015683584121699663
notch,0.0015655471970149515
transcriptional,0.0015564975055073322
domain,0.0015538684429881797
identified,0.0015477718580721158
showed,0.0015406220507902806
ovarian,0.0015160809822571239
wild,0.0015128481487028465
proteins,0.0015013648878986535
pcr,0.0014936308666567482
cancer,0.0014764938739194587
target,0.001474187214335344
min,0.0014574903338080215
residues,0.0014413574206541715
myc,0.0014265497160518875
ras,0.0014235146659821792
alk,0.0014182029240197654
pi3k,0.0014175160152852483
amino,0.0014128427056843374
11,0.0014059633782522124
supplementary table,0.0013910259397033656
levels,0.0013822081612077466
thus,0.0013779394730825377
nucleotide,0.001374122060425173
ability,0.0013589284774118795
vivo,0.001357924756110267
changes,0.0013477804705388655
splicing,0.0013460798287559452
next,0.001340338479704881
could,0.001330731549997182
alterations,0.0013261258721490143
suggesting,0.001323505223574479
four,0.001300601777869148
age,0.0012991114683209516
according,0.0012966230719553835
evidence,0.0012958099585933657
pathogenic,0.0012812922619751589
substrate,0.0012799739451402697
60,0.001267515576352823
cases,0.0012588296917481025
supplementary,0.0012586865248562426
bound,0.0012567551913952107
erbb2,0.0012441109242901048
mtor,0.0012410646626333213
human,0.001238321400520516
transformation,0.0012353022977428729
acids,0.0012304491061131265
tumor,0.0012274784928898675
likely,0.0012184011153347943
000,0.001207186646935886
ar,0.0011946912523764974
phase,0.001194624719311522
reported,0.0011853335932323667
35,0.0011834893203410066
mouse,0.0011639963391959572
structure,0.001163796306629935
antibodies,0.001156375544237848
among,0.001152096113401906
et al,0.0011443462635315224
mrna,0.0011423172773035281
high,0.0011325538797324584
deletions,0.0011241494308743588
cells expressing,0.001119827580712322
catalytic,0.0011149063489023124
either,0.0011144199555147853
three,0.0011137606936334023
presence,0.0011137380881207043
ml,0.0011114864476051967
brca2,0.0010962634486364475
effects,0.0010944649655698839
point,0.0010862922917298174
individuals,0.001085140659478534
association,0.0010788295357027542
regions,0.0010780904410438484
alleles,0.001077012616356072
mechanisms,0.0010750941927351358
affect,0.0010735037365822403
phosphatase,0.0010687220563230728
see,0.0010620806847702784
ca,0.0010431074110879557
akt,0.001038472678674758
different,0.0010378830775935714
dependent,0.0010277139580198414
signal,0.0010194145299878407
f3,0.00100859472957221
contrast,0.0010083918701138212
receptor,0.001008216843620145
significant,0.0010049651840168784
involved,0.0010045449790699343
sequences,0.0009952559004156826
family,0.0009879417825797232
vitro,0.0009742242550281693
additional,0.0009732010784645012
derived,0.0009640500413083173
supplementary fig,0.0009615679650450275
induce,0.0009560764255377995
promoter,0.0009478318664593739
syndrome,0.0009413141926655728
drug,0.0009393858038448065
genome,0.0009297735341220895
confirmed,0.000923685473677655
loop,0.0009057804187962388
pathway,0.0009048548112877421
secondary,0.0009032084060778576
mice,0.0008938403502285382
expressing,0.000888796049170551
d1,0.0008873340385336878
highly,0.0008852618041814337
analyzed,0.0008793292854216778
role,0.000878186744499007
form,0.0008748096922023101
13,0.000869005805690635
whether,0.0008664648721984306
result,0.0008660763217163581
whereas,0.0008653647376555307
known,0.0008627931682539183
apoptosis,0.0008621573200901261
growth,0.0008561924453855523
her2,0.0008559515595856359
met,0.0008545751363604695
brct,0.0008478686984563638
analysis,0.0008439478632942483
used,0.0008430452058575379
set,0.0008360169200445639
models,0.0008309146576445686
mutational,0.0008275176236216975
cell lines,0.0008261845510397807
reduced,0.0008249533697130382
sensitive,0.0008201458782098927
specific,0.0008111888030010791
anti,0.0007963817769492465
novel,0.0007956521303595386
factors,0.0007948845771960185
detected,0.0007946740769869744
egfr mutations,0.0007787901564096056
previously,0.000768003454148647
vector,0.0007645353957962937
melanoma,0.0007602459317925529
based,0.0007594131280702694
17,0.00075816274780724
experiments,0.0007551643207218241
revealed,0.0007541710235778081
23,0.000739213032915305
following,0.0007346273855916637
determined,0.0007319736068392862
higher,0.0007291521100281169
various,0.0007278498532536388
leukemia,0.0007244963105366869
transcription,0.0007235653726779111
lower,0.0007148365298388777
status,0.0007124045706756948
least,0.0007099268080891135
conserved,0.0007056732211128346
ligand,0.0007024911901212961
examined,0.0006922349960203159
nsclc,0.0006917010280045854
positive,0.00068993081806455
located,0.0006860142870809525
like,0.0006833162673596957
mapk,0.0006644487272456737
respectively,0.0006586481400524457
full,0.0006577933635042467
addition,0.0006516802378359488
types,0.0006493036133984365
cycle,0.000647864844389637
absence,0.0006458232470831198
flt3,0.0006347843989539407
serum,0.00063171792759999
negative,0.0006298405226512456
20,0.0006290075966841164
29,0.0006273060398748407
rna,0.0006134906534760631
similar,0.0005980239806023159
expressed,0.0005935190782164001
associated,0.0005791933436612235
obtained,0.0005787250491171919
findings,0.000577277507471012
generated,0.0005731783230564962
egfr,0.0005709911654037274
characterized,0.0005650058936306466
change,0.0005622111806002316
smad3,0.0005619099674050804
sites,0.0005578966670012223
18,0.0005518905419603723
cdna,0.0005508222515917009
spop,0.0005492438566486978
performed,0.0005479719674053503
33,0.0005452437003406155
helix,0.0005418448480504641
25,0.0005330893252931195
five,0.0005320699823088854
primary,0.0005300727544989188
level,0.0005257673774370459
normal,0.0005252069559381365
provide,0.0005218079224672607
cell line,0.0005200278705347893
12,0.000517487316228867
compared,0.000507363988742104
variant,0.0004982751745127357
et,0.0004953690190909172
al,0.0004950528947605963
cell cycle,0.0004948225017647178
corresponding,0.000494179282248527
might,0.00048639917538132246
gefitinib,0.00047547795152834394
wild type,0.0004721004449867419
relative,0.00046603952745387204
membrane,0.0004657290808105191
increase,0.0004622576688633955
tsc2,0.0004619436640175845
genetic,0.00045591438976839326
amino acid,0.0004459638877828048
risk,0.0004416207035097916
acid,0.00043993538876764787
factor,0.0004348868083272214
another,0.000433160447911354
lung cancer,0.0004331289465974647
identify,0.000430938822639494
mechanism,0.000429417599718999
targeted,0.00042719084546684257
predicted,0.0004263224027094352
nih,0.00042595930458942845
suggests,0.0004215172215194325
independent,0.00042031747320689513
previous,0.0004141615740813
methods,0.00040941204800672414
fold,0.00040786329246804377
group,0.00038506183149683375
development,0.0003850428350324733
critical,0.0003827264550077772
constructs,0.00038269364637263063
table,0.00037803492988888575
16,0.00037794890163671296
copy,0.00037339058692073014
21,0.0003731413756548014
indicate,0.00037103950538497067
total,0.00036785844925645044
substitutions,0.0003665776371859878
31,0.00036488098968741084
consistent,0.000364781494503102
distinct,0.00036135724931502514
second,0.00036111543545251656
neutral,0.00035714119821100506
residue,0.0003534791896209588
disease,0.00035329451151542516
required,0.00034839239680535826
test,0.0003483251446643496
use,0.0003481488757303767
phenotype,0.00034607440747787065
breast cancer,0.000339322118237022
tested,0.0003391428111186675
kinase activity,0.00033590652443059874
overall,0.00033151685705608714
would,0.0003210484167600096
well,0.0003207339832275927
tumour,0.0003039946955618937
crizotinib,0.00030190252866555816
differences,0.0002971023683690953
37,0.00029141578395304126
15,0.00028523066769021223
proliferation,0.00027638208291984616
substitution,0.0002752688790613322
reporter,0.0002711853586890159
30,0.00027060560503798156
mg,0.0002696750513913075
hr,0.00026766872650896354
non,0.0002585840979371885
endogenous,0.00025020671047587767
19,0.00024958499709675343
present,0.0002487961462433923
less,0.00024412777746002037
27,0.00024400112884972745
go,0.00024262783408145482
24,0.00023905106275111897
40,0.00023900304616687924
conformation,0.00023324225806002654
cyclin d1,0.0002256839943081431
samples,0.0002254920151935332
cancers,0.0002249071140126969
time,0.00021748133133193942
position,0.00021371778453771893
survival,0.00021366581130912747
research,0.00020971495590874922
recent,0.000207963271143058
available,0.00020557590964569253
potential,0.00020273349259106809
first,0.00019541786364824496
related,0.00019512809869136506
26,0.00019267302470473465
breast,0.0001904874968665368
sample,0.0001842033921175478
together,0.00018391673166174766
medium,0.00017794494940498088
Î¼g,0.00017605665452645453
22,0.0001736171720050077
without,0.00016762941828600588
many,0.0001671233066707516
analyses,0.00016088725390189085
100,0.0001540900145637198
amino acids,0.0001478358368844868
due,0.00014683048556378688
including,0.00014249093840196968
transfection,0.00014106702805979384
resulting,0.00014054126968572074
targeting,0.00013754384179608383
furthermore,0.0001364335129610123
demonstrated,0.00013598144450008466
allele,0.00013319814167635008
recently,0.00012466312180265307
system,0.00011710901090758699
figure figure,0.00010874499029559423
case,0.00010218679139519062
50,9.867109352053769e-05
line,9.445804717071464e-05
frequency,8.666961129855472e-05
interestingly,8.031947400933814e-05
atp,7.602752287416218e-05
gfp,7.582120386191482e-05
included,7.5622890877878e-05
possible,7.106867672872371e-05
antibody,6.556315641470925e-05
48,5.72040131830818e-05
pathways,5.2057670291367387e-05
mean,5.119648186454135e-05
smad2,4.860087400457455e-05
class,4.225451017622452e-05
large,4.19167871971775e-05
data shown,4.149520644559219e-05
given,3.352622287377132e-05
induced,3.072490329459085e-05
28,2.981479826914479e-05
genomic,1.4595942072589824e-05
32,4.292844254943907e-06
motif,1.465750433213063e-06
per,5.917561629615465e-08
